,indicator,1,2,3,4,5,6
268,0,170.033099644,170.261772389,169.048812609,169.217831595,169.317254528,168.163948507
269,-1,178.265318478,178.265318478,178.663010209,179.100471113,179.478278258,179.557816604
270,0,172.806999468,172.946191574,172.339711684,172.946191574,172.806999468,172.995903041
271,1,174.984361696,173.572556051,173.393594772,172.150808112,171.395193823,171.216232544
272,0,179.329143859,179.945566042,179.975392922,179.995277508,177.969038138,178.722663969
273,-1,178.464164344,178.593414156,179.329143859,179.945566042,179.975392922,179.995277508
274,0,167.090180833,167.149834593,163.955375763,167.368565045,168.989158849,169.496215807
275,1,160.866305241,159.867104767,159.583749408,158.848019706,158.828135119,158.798308239
276,0,161.572208064,161.065151107,161.810823103,162.119034194,162.178687954,161.830707689
277,-1,161.144788876,161.602034944,161.989784382,162.188630247,162.496841339,162.814994724
278,0,156.88938793,158.112290003,159.28548061,161.144788876,161.602034944,161.989784382
279,1,160.677401669,160.070921779,160.289652231,158.480154854,157.585348459,156.88938793
280,0,163.073494349,163.491070667,163.958358451,164.544953754,160.677401669,160.070921779
281,-1,166.682546809,166.931104141,163.935491176,165.081837591,166.135720679,168.104195325
282,0,159.31530749,159.434615009,159.593691702,157.645002219,157.585348459,158.04269395
283,1,157.664886806,157.873674964,157.446156353,156.521523079,155.994581535,155.457697698
284,0,158.897731172,159.608605141,160.339363697,160.289652231,160.369190577,160.070921779
285,-1,159.971498846,160.051037192,160.130575539,160.150460125,160.52826727,163.570609013
286,0,150.18828226,150.128628501,150.068974741,149.934753782,149.760763649,150.039147861
287,1,147.096229051,147.145940517,147.195651984,147.265248037,146.649820083,146.628941267
288,0,147.861785633,147.82201646,147.936352833,147.474036195,147.076443887,146.996806118
289,-1,150.297806301,150.287878445,150.287878445,150.516219124,150.506291269,150.52614698
290,0,148.481008721,148.481008721,148.431369443,148.421441588,148.332090887,147.011686089
291,1,151.221096874,150.873621927,151.052323328,151.355122925,151.072179039,143.37809093
292,0,150.605569825,151.221096874,150.873621927,151.052323328,151.355122925,151.072179039
293,-1,147.776130972,150.605569825,151.221096874,150.873621927,151.052323328,151.355122925
294,0,139.823918617,140.012547874,140.6777142,140.866343457,140.74720919,140.697569912
295,1,139.24810299,139.039618022,139.019762311,138.553153097,138.493585963,138.195750294
296,0,141.869056875,140.861379529,140.399734243,140.51886851,140.776992757,140.608219211
297,-1,140.786920612,140.707497767,140.628074922,140.786920612,142.891626005,143.298668085
298,0,141.620860485,141.571221207,141.968335432,141.968335432,142.01797471,142.028001844
299,1,137.748996791,137.679501802,137.88798677,137.897914625,137.957481759,137.371738277
300,0,140.310383542,140.568507788,140.846487746,139.893413606,139.734567916,139.933125029
301,-1,138.354595984,138.573008808,139.47644367,140.310383542,140.568507788,140.846487746
302,0,137.835369135,137.629862524,137.312171144,137.272459721,137.530583967,137.471016834
303,1,140.221032842,139.228247279,137.835369135,137.629862524,137.312171144,137.272459721
304,0,140.876271313,141.025189147,141.462014795,141.47194265,141.47194265,140.330239254
305,-1,139.282850485,140.27067212,140.876271313,141.025189147,141.462014795,141.47194265
306,0,140.131682141,140.191249275,139.228247279,138.106498872,138.560598988,139.054509806
307,1,139.625361504,139.734567916,140.131682141,140.191249275,139.228247279,138.106498872
308,0,140.886199168,140.786920612,140.667786345,140.737281334,140.727353478,140.876271313
309,-1,144.768089996,144.797774285,144.897052841,144.956619975,145.651569868,146.058611949
310,0,143.110038828,143.358235219,143.000832417,142.263192744,142.147036833,141.849201164
311,1,142.027902565,141.452086939,141.452086939,141.06490057,140.826632035,140.250816409
312,0,148.495900505,147.726491694,147.210243201,145.850126981,146.14796265,147.051397511
313,-1,152.804589846,153.276162988,154.189525705,154.129958572,154.60659492,155.619136915
314,0,151.677778232,151.240952585,151.389870419,151.409726131,151.7969125,151.836623922
315,0,147.537862437,149.692207107,150.704848381,151.032467617,151.757201077,147.905193095
316,-1,147.159611138,147.537862437,149.692207107,150.704848381,151.032467617,151.757201077
