frame,updown,date,0
29,-1.0,2018-11-20,92.15324401855467
29,-1.0,2018-11-21,93.23046875
29,-1.0,2018-11-23,92.14540100097656
29,-1.0,2018-11-26,94.0088882446289
29,-1.0,2018-11-27,94.37844848632812
29,-1.0,2018-11-28,96.71373748779295
29,-1.0,2018-11-29,95.51856994628906
29,-1.0,2018-11-30,97.71231842041016
29,-1.0,2018-12-03,98.5300521850586
30,0.0,2018-11-29,95.51856994628906
30,0.0,2018-11-30,97.71231842041016
30,0.0,2018-12-03,98.5300521850586
30,0.0,2018-12-04,95.61292266845705
30,0.0,2018-12-06,97.42925262451172
30,0.0,2018-12-07,93.83590698242188
30,0.0,2018-12-10,95.24337768554688
30,0.0,2018-12-11,95.05467224121094
30,0.0,2018-12-12,95.26696014404295
30,0.0,2018-12-13,94.9288558959961
31,1.0,2018-12-11,95.05467224121094
31,1.0,2018-12-12,95.26696014404295
31,1.0,2018-12-13,94.9288558959961
31,1.0,2018-12-14,94.27623748779295
31,1.0,2018-12-17,91.28832244873048
31,1.0,2018-12-18,91.7208023071289
31,1.0,2018-12-19,91.54779052734376
31,1.0,2018-12-20,88.86656951904297
31,1.0,2018-12-21,87.23106384277344
31,1.0,2018-12-24,84.58126068115234
32,0.0,2019-02-19,110.32915496826172
32,0.0,2019-02-20,109.77234649658205
32,0.0,2019-02-21,109.64505767822266
32,0.0,2019-02-22,110.76666259765624
32,0.0,2019-02-25,110.9337158203125
32,0.0,2019-02-26,111.14051055908205
32,0.0,2019-02-27,110.7030258178711
32,0.0,2019-02-28,109.87577056884766
32,0.0,2019-03-01,110.72689819335938
32,0.0,2019-03-04,110.11439514160156
33,-1.0,2019-04-03,114.25072479248048
33,-1.0,2019-04-04,113.5746078491211
33,-1.0,2019-04-05,113.97233581542967
33,-1.0,2019-04-08,114.0598373413086
33,-1.0,2019-04-09,113.04164123535156
33,-1.0,2019-04-10,113.76551055908205
33,-1.0,2019-04-11,114.37005615234376
33,-1.0,2019-04-12,114.82347869873048
33,-1.0,2019-04-15,114.46549987792967
33,-1.0,2019-04-16,115.45187377929688
34,0.0,2019-04-12,114.82347869873048
34,0.0,2019-04-15,114.46549987792967
34,0.0,2019-04-16,115.45187377929688
34,0.0,2019-04-17,110.65531158447266
34,0.0,2019-04-18,111.6257553100586
34,0.0,2019-04-22,110.48029327392578
34,0.0,2019-04-23,111.7132339477539
34,0.0,2019-04-24,111.323486328125
34,0.0,2019-04-25,110.27349090576172
34,0.0,2019-04-26,110.91778564453124
35,1.0,2019-05-17,108.11422729492188
35,1.0,2019-05-20,108.75817108154295
35,1.0,2019-05-21,109.82866668701172
35,1.0,2019-05-22,109.74819946289062
35,1.0,2019-05-23,106.56079864501952
35,1.0,2019-05-24,106.4722671508789
35,1.0,2019-05-28,105.00733947753906
