,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
72,1,155.052289157,153.864263762,154.493218383,154.603035856,155.291890917,155.486567347,155.661276964,155.561442897,155.751127624,155.761111031,155.781077844,155.821011471,155.811028064,156.070596638,155.34180795,154.453284756,155.13215641,155.501542457,155.261940697,152.927820215
73,0,154.243633215,154.073915302,154.283566842,154.453284756,154.373417502,154.393384316,154.233649809,155.092222783,155.01235553,154.83265421,154.333483876,154.313517062,155.052289157,153.864263762,154.493218383,154.603035856,155.291890917,155.486567347,155.661276964,155.561442897
74,-1,155.970762571,157.108870933,155.481575644,155.252656129,154.702869923,155.616351634,156.589733785,157.707875334,158.177095448,158.286912921,158.007377534,158.356796768,158.217029074,157.837659621,157.59805786,157.917526874,159.085585456,159.055635236,159.185419522,159.50988024
75,0,155.721177404,155.741144218,155.880911911,156.320181805,155.970762571,157.108870933,155.481575644,155.252656129,154.702869923,155.616351634,156.589733785,157.707875334,158.177095448,158.286912921,158.007377534,158.356796768,158.217029074,157.837659621,157.59805786,157.917526874
76,1,159.864291177,158.796066662,159.335270457,158.777098189,158.227012481,157.662950004,156.909202799,157.438323353,157.088904119,156.350132025,155.741144218,155.721177404,155.741144218,155.880911911,156.320181805,155.970762571,157.108870933,155.481575644,155.252656129,154.702869923
77,0,168.929224443,168.959174663,169.847697857,169.737880384,169.767830604,169.787797417,169.917581704,169.288627083,168.959174663,169.188793016,169.578145877,170.170361561,170.009828382,167.321895967,166.565852579,166.034036505,164.641351273,164.406741216,163.388433735,162.459976914
78,-1,168.519904769,168.579805209,168.450020922,168.410087295,169.29861049,168.989124883,168.769489936,168.375145372,168.929224443,168.959174663,169.847697857,169.737880384,169.767830604,169.787797417,169.917581704,169.288627083,168.959174663,169.188793016,169.578145877,170.170361561
79,0,167.511580694,166.95250992,166.702924753,166.68295794,166.80275882,166.842692446,167.002426953,166.9225597,167.19211168,167.831049708,167.811082894,166.453339586,166.373472332,167.261995527,167.093874959,167.292045581,167.49061554,167.351846187,167.601431354,167.541530914
80,1,167.721232234,167.0723108,167.731215641,166.803158156,167.541530914,167.606423057,167.302927494,167.511580694,166.95250992,166.702924753,166.68295794,166.80275882,166.842692446,167.002426953,166.9225597,167.19211168,167.831049708,167.811082894,166.453339586,166.373472332
81,0,173.97583652,175.049052738,174.330247457,174.338833187,173.591475363,173.281989755,172.912603708,173.341890196,173.81111031,173.661359209,173.84106053,173.651375803,173.127246952,173.723256331,174.060795311,173.691309429,174.030745256,173.970744982,173.890977563,173.81111031
82,-1,173.052371402,172.538225958,172.802786235,172.113931174,172.742885795,173.608147652,173.551541736,173.381823822,173.411774042,172.503284034,172.363516341,172.203781834,172.133897987,172.413433374,173.880994156,172.887645192,173.052271568,173.781160089,173.97583652,175.049052738
83,0,171.49495996,171.534893586,171.61476084,170.816088305,170.806104899,171.105607099,171.085640286,170.756187865,171.884412654,171.544876993,172.737894091,172.822753048,172.823951057,172.707943871,172.902620302,172.702952168,172.791405151,172.673001948,172.862686675,172.593134694
84,1,165.614733425,165.534866171,166.163820792,166.093936945,166.403422552,167.202095087,166.313571892,165.405081884,164.776127264,165.008241469,164.311898853,164.60640935,164.716226823,164.766143857,164.72621023,164.995762211,164.526542097,164.376790996,163.737852969,163.478284395
